Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm)
2022-01-03,-1.0,-3.0,-2.0,0.0,13.0
2022-01-04,-5.5,-11.5,-8.5,0.0,1.4
2022-01-09,-0.5,-6.0,-3.3,0.0,0.0
2022-01-10,0.5,-10.5,-5.0,6.0,7.2
2022-01-11,4.0,0.0,2.0,2.2,0.0
2022-01-15,4.5,1.0,2.8,0.0,0.0
2022-01-16,2.5,0.0,1.3,1.2,0.0
2022-01-17,4.5,0.0,2.3,0.7,0.0
2022-01-18,4.0,0.5,2.3,0.2,0.0
2022-01-22,4.0,-0.5,1.8,0.0,0.0
2022-01-23,3.5,-3.5,0.0,0.0,0.0
2022-01-24,4.5,-5.0,-0.3,0.0,0.0
2022-01-25,3.0,-6.5,-1.8,0.0,0.0
2022-01-29,3.0,-7.0,-2.0,4.2,6.2
2022-01-30,1.0,0.0,0.5,0.5,14.4
2022-01-31,2.0,-3.5,-0.8,0.0,0.0
2022-02-01,-0.5,-6.5,-3.5,0.0,0.0
2022-02-05,3.5,0.5,2.0,0.0,0.0
2022-02-06,3.5,0.0,1.8,0.0,0.0
2022-02-07,6.0,-1.5,2.3,0.0,0.0
2022-02-08,3.5,0.0,1.8,0.0,0.0
2022-02-12,6.0,-5.5,0.3,0.0,0.0
2022-02-13,6.5,-4.0,1.3,0.0,1.0
2022-02-14,6.0,-2.0,2.0,0.0,0.0
2022-02-15,3.5,0.0,1.8,0.0,0.0
2022-02-16,6.0,-3.0,1.5,0.0,0.0
2022-02-19,2.0,0.5,1.3,1.6,1.0
2022-02-20,4.0,-1.5,1.3,0.0,0.0
2022-02-21,-2.0,-4.5,-3.3,0.0,0.0
2022-02-22,-4.5,-12.0,-8.3,0.0,0.0
2022-02-25,3.5,-11.5,-4.0,0.0,0.0
2022-02-26,2.5,-9.0,-3.3,0.0,15.6
2022-02-27,3.0,-0.5,1.3,0.4,4.6
2022-02-28,3.5,0.0,1.8,0.8,0.0
2022-03-01,7.5,0.5,4.0,15.5,0.0
2022-03-02,5.5,0.0,2.8,0.0,0.0
2022-03-05,9.0,-5.0,2.0,0.0,0.0
2022-03-06,11.5,-4.0,3.8,0.0,0.0
2022-03-07,7.0,-3.0,2.0,0.0,0.0
2022-03-08,6.0,-2.0,2.0,0.0,0.0
2022-03-09,2.5,-5.5,-1.5,0.0,0.0
2022-03-12,2.5,-0.5,1.0,3.5,3.6
2022-03-13,5.5,-0.5,2.5,4.5,0.0
2022-03-14,3.0,1.0,2.0,10.5,1.0
2022-03-15,4.5,0.0,2.3,0.6,0.0
2022-03-16,7.0,2.0,4.5,0.0,0.6
2022-03-19,5.0,0.0,2.5,0.6,3.4
2022-03-20,3.5,-2.0,0.8,0.0,7.0
2022-03-21,4.5,0.0,2.3,3.9,0.0
2022-03-22,7.0,1.0,4.0,2.6,0.0
2022-03-25,9.5,-1.5,4.0,2.6,0.0
2022-03-26,6.5,1.5,4.0,2.4,0.0
2022-03-27,6.5,0.5,3.5,16.0,0.0
2022-03-28,12.5,3.0,7.8,0.8,0.0
2022-03-29,14.0,-2.0,6.0,1.8,0.0
2022-03-30,9.5,2.5,6.0,0.4,0.0
2022-04-02,8.0,1.0,4.5,0.6,0.0
2022-04-03,2.5,1.0,1.8,5.8,22.0
2022-04-04,2.5,0.0,1.3,0.0,2.4
2022-04-05,7.0,0.5,3.8,0.0,0.0
2022-04-06,9.0,-5.0,2.0,0.0,0.0
2022-04-09,6.0,-2.0,2.0,0.0,0.0
2022-04-10,7.0,-3.0,2.0,0.0,0.0
2022-04-11,8.5,-1.5,3.5,0.0,0.0
2022-04-12,4.0,-2.5,0.8,0.0,0.0
2022-04-13,7.5,-2.5,2.5,0.0,0.0
2022-04-14,8.5,-4.5,2.0,0.0,0.0
2022-04-15,6.5,-4.5,1.0,0.0,0.0
2022-04-16,9.5,-6.0,1.8,0.0,0.0
2022-04-17,10.5,-2.5,4.0,0.3,0.0
2022-04-18,3.0,0.5,1.8,3.6,2.0
2022-04-19,9.0,0.0,4.5,0.6,0.0
2022-04-20,11.5,-3.0,4.3,0.0,0.0
2022-04-23,14.0,-1.0,6.5,0.0,0.0
2022-04-24,17.0,0.5,8.8,8.8,0.0
2022-04-25,11.0,3.0,7.0,0.6,0.0
2022-04-26,9.5,0.0,4.8,4.8,2.2
2022-04-27,11.0,-0.5,5.3,0.0,0.0
2022-05-01,14.0,-1.5,6.3,0.8,0.0
2022-05-02,16.0,4.5,10.3,0.6,0.0
2022-05-03,11.5,6.5,9.0,6.0,0.0
2022-05-04,12.0,4.0,8.0,9.0,0.0
2022-05-07,11.0,-1.0,5.0,0.0,0.0
2022-05-08,12.0,2.0,7.0,0.4,0.0
2022-05-09,12.0,2.5,7.3,1.6,0.0
2022-05-10,10.0,4.0,7.0,1.0,0.0
2022-05-11,9.0,2.0,5.5,2.2,0.0
2022-05-14,12.5,2.5,7.5,2.0,0.0
2022-05-15,9.5,6.0,7.8,12.7,0.0
2022-05-16,13.0,6.5,9.8,0.9,0.0
2022-05-17,9.0,0.5,4.8,6.4,0.0
2022-05-18,8.5,1.5,5.0,17.4,0.0
2022-05-21,19.0,-0.5,9.3,0.0,0.0
2022-05-22,20.5,0.0,10.3,0.0,0.0
2022-05-23,16.0,7.0,11.5,0.0,0.0
2022-05-24,14.0,3.5,8.8,0.0,0.0
2022-05-25,16.0,6.5,11.3,0.0,0.0
2022-05-26,18.0,3.5,10.8,17.8,0.0
2022-05-27,13.5,6.5,10.0,0.4,0.0
2022-05-28,17.5,3.5,10.5,3.0,0.0
2022-05-29,12.5,6.0,9.3,5.2,0.0
2022-05-30,17.5,6.5,12.0,0.0,0.0
2022-06-02,21.5,9.0,15.3,2.0,0.0
2022-06-03,13.5,9.0,11.3,9.4,0.0
2022-06-04,17.0,7.5,12.3,3.8,0.0
2022-06-05,13.5,9.0,11.3,10.8,0.0
2022-06-06,16.5,7.5,12.0,0.0,0.0
2022-06-07,23.5,2.5,13.0,3.8,0.0
2022-06-08,16.5,8.5,12.5,0.0,0.0
2022-06-11,16.0,8.0,12.0,5.0,0.0
2022-06-12,18.5,6.0,12.3,0.0,0.0
2022-06-13,17.0,9.0,13.0,1.2,0.0
2022-06-14,18.5,7.0,12.8,0.0,0.0
2022-06-15,19.5,8.5,14.0,2.6,0.0
2022-06-18,14.5,9.0,11.8,6.0,0.0
2022-06-19,17.5,9.0,13.3,0.0,0.0
2022-06-20,17.5,9.0,13.3,0.0,0.0
2022-06-21,13.5,10.5,12.0,1.6,0.0
2022-06-22,20.5,11.5,16.0,0.0,0.0
2022-06-25,27.5,6.5,17.0,0.0,0.0
2022-06-26,31.0,7.0,19.0,0.0,0.0
2022-06-27,32.0,8.5,20.3,0.0,0.0
2022-06-28,22.0,10.5,16.3,0.4,0.0
2022-06-29,14.0,10.5,12.3,0.4,0.0
2022-06-30,21.5,10.0,15.8,0.0,0.0
2022-07-01,26.0,8.5,17.3,0.0,0.0
2022-07-02,28.0,8.0,18.0,0.4,0.0
2022-07-06,18.5,10.5,14.5,5.9,0.0
2022-07-07,18.5,10.5,14.5,1.6,0.0
2022-07-08,17.5,9.5,13.5,5.8,0.0
2022-07-09,20.0,7.5,13.8,0.2,0.0
2022-07-12,27.0,9.0,18.0,0.0,0.0
2022-07-13,24.5,10.5,17.5,0.0,0.0
2022-07-16,18.5,11.0,14.8,2.4,0.0
2022-07-17,18.5,11.0,14.8,1.2,0.0
2022-07-18,26.0,11.5,18.8,0.0,0.0
2022-07-19,26.0,13.0,19.5,0.0,0.0
2022-07-20,28.5,9.5,19.0,0.0,0.0
2022-07-23,28.0,10.0,19.0,0.0,0.0
2022-07-24,30.5,10.0,20.3,0.0,0.0
2022-07-25,33.0,11.5,22.3,0.0,0.0
2022-07-26,35.0,13.5,24.3,0.0,0.0
2022-07-27,36.0,14.0,25.0,0.0,0.0
2022-07-30,35.0,12.5,23.8,0.0,0.0
2022-07-31,34.0,12.5,23.3,0.0,0.0
2022-08-01,29.5,13.0,21.3,0.0,0.0
2022-08-02,26.0,14.5,20.3,0.0,0.0
2022-08-03,18.0,14.0,16.0,11.2,0.0
2022-08-06,29.0,7.0,18.0,0.0,0.0
2022-08-07,32.0,9.0,20.5,0.0,0.0
2022-08-08,32.0,10.0,21.0,0.0,0.0
2022-08-09,34.5,10.5,22.5,0.0,0.0
2022-08-10,27.0,12.5,19.8,0.0,0.0
2022-08-13,21.5,14.5,18.0,0.0,0.0
2022-08-14,27.0,9.5,18.3,0.0,0.0
2022-08-15,28.5,10.5,19.5,0.0,0.0
2022-08-16,29.5,14.5,22.0,0.0,0.0
2022-08-17,34.0,11.0,22.5,0.0,0.0
2022-08-20,30.0,11.5,20.8,0.0,0.0
2022-08-21,27.0,14.5,20.8,0.0,0.0
2022-08-22,30.0,12.0,21.0,0.0,0.0
2022-08-23,28.5,11.5,20.0,0.0,0.0
2022-08-24,33.0,15.0,24.0,0.0,0.0
2022-08-27,21.0,11.0,16.0,0.0,0.0
2022-08-28,21.0,12.0,16.5,0.0,0.0
2022-08-29,27.0,14.0,20.5,0.0,0.0
2022-08-30,33.5,11.0,22.3,0.0,0.0
2022-08-31,34.0,10.5,22.3,0.0,0.0
2022-09-03,25.5,11.0,18.3,0.0,0.0
2022-09-04,15.0,13.0,14.0,4.2,0.0
2022-09-05,20.5,8.5,14.5,0.0,0.0
2022-09-06,26.0,5.0,15.5,0.0,0.0
2022-09-07,24.0,9.5,16.8,0.0,0.0
2022-09-08,23.5,4.5,14.0,0.0,0.0
2022-09-09,25.5,5.0,15.3,0.0,0.0
2022-09-10,30.0,5.5,17.8,0.0,0.0
2022-09-11,27.0,7.5,17.3,0.0,0.0
2022-09-12,24.0,8.0,16.0,0.0,0.0
2022-09-15,17.0,13.5,15.3,1.1,0.0
2022-09-16,15.0,9.5,12.3,4.1,0.0
2022-09-17,18.0,3.0,10.5,0.0,0.0
2022-09-18,21.5,3.5,12.5,0.0,0.0
2022-09-19,22.0,2.0,12.0,0.0,0.0
2022-09-20,21.5,2.5,12.0,0.0,0.0
2022-09-21,23.5,2.5,13.0,0.0,0.0
2022-09-24,21.0,10.0,15.5,0.0,0.0
2022-09-25,27.0,6.0,16.5,0.0,0.0
2022-09-26,25.0,6.5,15.8,0.0,0.0
2022-09-27,27.0,5.5,16.3,0.0,0.0
2022-09-28,20.0,8.0,14.0,0.3,0.0
2022-09-29,20.5,9.5,15.0,0.0,0.0
2022-09-30,23.0,9.0,16.0,0.0,0.0
2022-10-01,24.0,6.0,15.0,0.0,0.0
2022-10-02,27.0,5.0,16.0,0.0,0.0
2022-10-03,26.5,5.5,16.0,0.0,0.0
2022-10-04,23.5,5.5,14.5,0.0,0.0
2022-10-05,23.5,7.5,15.5,0.0,0.0
2022-10-08,23.5,5.5,14.5,0.0,0.0
2022-10-09,23.0,5.0,14.0,0.0,0.0
2022-10-10,18.5,6.0,12.3,0.0,0.0
2022-10-11,17.0,2.5,9.8,0.0,0.0
2022-10-12,20.0,3.5,11.8,0.0,0.0
2022-10-15,22.0,4.5,13.3,0.0,0.0
2022-10-16,19.0,3.0,11.0,0.0,0.0
2022-10-17,18.5,1.5,10.0,0.0,0.0
2022-10-18,20.0,2.0,11.0,0.0,0.0
2022-10-19,21.0,2.5,11.8,0.0,0.0
2022-10-20,14.5,7.0,10.8,0.0,0.0
2022-10-21,8.0,6.0,7.0,0.6,0.0
2022-10-22,8.5,2.5,5.5,0.6,0.0
2022-10-23,6.5,-3.0,1.8,11.0,1.0
2022-10-24,5.5,0.0,2.8,1.3,0.0
2022-10-25,5.5,2.5,4.0,4.1,0.0
2022-10-26,5.0,1.0,3.0,4.4,0.0
2022-10-27,6.5,2.0,4.3,25.7,0.0
2022-10-28,8.0,4.0,6.0,0.0,0.0
2022-10-29,6.5,5.0,5.8,25.4,0.0
2022-10-30,6.5,3.5,5.0,11.8,0.0
2022-10-31,7.0,2.5,4.8,6.8,1.0
2022-11-01,3.0,-0.5,1.3,0.0,0.0
2022-11-02,4.0,-4.0,0.0,0.0,0.0
2022-11-05,2.5,-1.5,0.5,0.0,1.0
2022-11-06,-0.5,-3.0,-1.8,0.0,6.8
2022-11-07,-5.0,-6.0,-5.5,0.0,0.0
2022-11-08,-4.5,-10.0,-7.3,0.0,0.0
2022-11-09,-3.0,-11.5,-7.3,0.0,0.0
2022-11-10,-2.0,-11.5,-6.8,0.0,0.0
2022-11-11,-1.0,-5.0,-3.0,0.0,0.0
2022-11-12,2.5,-2.0,0.3,0.0,0.0
2022-11-13,4.5,-4.5,0.0,0.0,0.0
2022-11-14,5.0,-5.0,0.0,0.0,0.0
2022-11-15,4.0,-5.0,-0.5,0.0,0.0
2022-11-16,2.5,-6.5,-2.0,0.0,0.0
2022-11-19,-2.0,-10.0,-6.0,0.0,0.0
2022-11-20,0.0,-6.5,-3.3,0.0,0.0
2022-11-21,3.0,-1.5,0.8,3.4,0.0
2022-11-22,1.5,0.0,0.8,7.4,6.4
2022-11-23,3.5,0.0,1.8,0.0,0.0
2022-11-26,2.0,-1.0,0.5,9.4,0.4
2022-11-27,1.5,-3.5,-1.0,0.0,0.6
2022-11-28,-4.0,-7.5,-5.8,0.0,0.0
2022-11-29,-8.0,-11.0,-9.5,0.0,11.0
2022-11-30,-4.0,-9.0,-6.5,0.0,2.0
2022-12-03,-8.0,-15.5,-11.8,0.0,0.0
2022-12-07,-0.5,-6.0,-3.3,0.0,7.0
2022-12-08,1.0,-3.0,-1.0,0.0,8.0
2022-12-09,-1.0,-3.0,-2.0,0.0,7.0
2022-12-10,-0.5,-3.0,-1.8,0.0,0.0
2022-12-13,-0.5,-7.5,-4.0,0.0,0.0
2022-12-14,-1.5,-8.0,-4.8,0.0,0.0
2022-12-17,-1.5,-7.5,-4.5,0.0,1.4
2022-12-18,-12.0,-14.5,-13.3,0.0,2.4
2022-12-19,-18.0,-19.0,-18.5,0.0,1.0
2022-12-20,-16.5,-19.0,-17.8,0.0,0.0
2022-12-21,-16.5,-21.5,-19.0,0.0,0.0
2022-12-26,5.5,0.0,2.8,9.7,0.0
2022-12-27,4.0,0.0,2.0,5.0,0.0
2022-12-28,2.5,1.0,1.8,0.0,0.0
2022-12-31,3.0,0.0,1.5,0.0,0.0
2020-01-01,4.5,0.0,2.3,0.0,0.0
2020-01-02,0.0,-1.5,-0.8,12.2,5.0
2020-01-03,3.5,-2.0,0.8,20.6,0.0
2020-01-04,2.0,-0.5,0.8,0.0,3.4
2020-01-05,1.0,0.0,0.5,0.0,8.2
2020-01-06,-0.5,-2.0,-1.3,0.0,20.0
2020-01-07,1.0,-1.5,-0.3,7.0,21.0
2020-01-08,0.0,-1.0,-0.5,0.0,0.0
2020-01-09,-1.5,-4.0,-2.8,0.0,3.0
2020-01-10,-1.0,-4.0,-2.5,0.0,12.2
2020-01-11,0.5,-3.5,-1.5,0.0,10.4
2020-01-12,-2.5,-8.5,-5.5,0.0,5.4
2020-01-13,-16.0,-16.5,-16.3,0.0,0.0
2020-01-14,-16.5,-17.5,-17.0,0.0,6.4
2020-01-16,-15.0,-18.0,-16.5,0.0,0.0
2020-01-17,-11.5,-18.0,-14.8,0.0,8.2
2020-01-18,-2.5,-14.0,-8.3,0.0,16.8
2020-01-19,0.5,-10.5,-5.0,7.3,0.0
2020-01-20,3.0,0.0,1.5,6.2,0.0
2020-01-21,2.5,0.0,1.3,2.9,1.0
2020-01-22,1.5,0.0,0.8,27.2,10.0
2020-01-23,1.0,0.0,0.5,13.6,0.0
2020-01-24,3.5,0.0,1.8,5.2,0.0
2020-01-25,3.5,0.0,1.8,0.4,1.2
2020-01-26,4.0,0.0,2.0,1.4,2.2
2020-01-27,4.0,0.5,2.3,0.0,4.0
2020-01-28,2.5,-1.5,0.5,1.7,0.0
2020-01-29,3.0,-1.0,1.0,1.9,0.0
2020-01-30,3.0,-2.5,0.3,3.0,12.0
2020-01-31,6.0,0.0,3.0,75.4,0.0
2020-02-01,4.5,0.0,2.3,0.0,0.0
2020-02-02,0.0,-6.0,-3.0,0.0,2.4
2020-02-03,-1.5,-8.5,-5.0,0.0,1.0
2020-02-04,-2.0,-8.0,-5.0,0.0,6.6
2020-02-05,1.0,-4.5,-1.8,0.0,0.0
2020-02-06,1.0,0.0,0.5,0.0,2.8
2020-02-07,1.5,-0.5,0.5,1.6,4.8
2020-02-08,3.0,-2.5,0.3,0.0,0.0
2020-02-09,2.0,-8.0,-3.0,0.0,0.0
2020-02-10,3.0,-8.5,-2.8,0.0,0.0
2020-02-11,3.0,-2.5,0.3,0.0,0.0
2020-02-12,4.5,-2.0,1.3,0.0,0.0
2020-02-13,1.5,-0.5,0.5,0.0,1.0
2020-02-14,4.0,-1.0,1.5,0.0,2.4
2020-02-15,2.5,-0.5,1.0,0.0,1.4
2020-02-16,2.5,-1.5,0.5,0.0,0.0
2020-02-17,2.5,-7.0,-2.3,0.0,0.0
2020-02-18,2.0,-9.0,-3.5,0.0,0.0
2020-02-19,3.0,-8.5,-2.8,0.0,0.0
2020-02-20,7.0,-9.5,-1.3,0.0,0.0
2020-02-21,6.5,-7.0,-0.3,0.0,5.4
2020-02-22,3.5,0.0,1.8,0.0,9.6
2020-02-23,2.5,-1.0,0.8,0.0,4.2
2020-02-24,2.0,-2.0,0.0,0.0,0.0
2020-02-25,1.0,-2.0,-0.5,0.0,1.2
2020-02-26,4.5,0.0,2.3,0.4,0.0
2020-02-27,3.0,1.0,2.0,0.0,0.0
2020-02-28,3.5,0.5,2.0,12.4,0.0
2020-02-29,4.0,-0.5,1.8,0.0,0.0
2020-03-01,2.0,-7.0,-2.5,0.0,0.6
2020-03-02,2.0,-1.0,0.5,0.2,0.4
2020-03-03,3.5,0.0,1.8,7.0,3.0
2020-03-04,4.5,-1.5,1.5,0.0,2.0
2020-03-05,1.0,-1.5,-0.3,0.0,9.0
2020-03-06,3.5,-3.0,0.3,0.0,0.0
2020-03-07,0.5,-8.5,-4.0,0.0,1.4
2020-03-08,4.0,-5.0,-0.5,0.0,0.0
2020-03-09,4.0,-9.5,-2.8,0.0,1.0
2020-03-10,1.0,-2.0,-0.5,0.0,3.0
2020-03-11,6.0,-1.0,2.5,0.0,0.0
2020-03-12,6.0,-6.5,-0.3,0.0,0.0
2020-03-13,0.0,-2.0,-1.0,0.0,0.0
2020-03-14,-4.5,-10.5,-7.5,0.0,0.0
2020-03-15,3.0,-9.0,-3.0,0.0,0.0
2020-03-16,8.0,-6.5,0.8,0.0,0.0
2020-03-17,12.0,-5.5,3.3,0.0,0.0
2020-03-18,11.5,-5.5,3.0,0.0,0.0
2020-03-19,11.5,-5.5,3.0,0.0,0.0
2020-03-20,13.0,-5.0,4.0,0.0,0.0
2020-03-21,13.0,-4.5,4.3,0.0,0.0
2020-03-22,7.5,-3.5,2.0,0.0,2.0
2020-03-23,4.5,0.0,2.3,0.0,2.0
2020-03-24,6.5,-2.0,2.3,0.0,0.0
2020-03-25,8.0,-5.0,1.5,0.0,0.0
2020-03-26,4.5,-3.5,0.5,0.0,0.0
2020-03-27,5.5,0.5,3.0,4.0,0.0
2020-03-28,7.0,1.5,4.3,3.2,0.0
2020-03-29,7.0,1.5,4.3,4.7,8.0
2020-03-30,3.5,0.0,1.8,0.0,7.6
2020-03-31,7.0,-1.5,2.8,0.0,1.0
2020-04-01,4.0,-2.5,0.8,0.0,0.0
2020-04-02,5.0,-5.0,0.0,0.0,0.0
2020-04-03,3.5,-1.0,1.3,0.0,1.0
2020-04-04,4.5,-3.5,0.5,0.0,0.0
2020-04-05,7.5,-4.5,1.5,0.0,0.0
2020-04-06,10.5,-5.5,2.5,0.0,0.0
2020-04-07,11.5,-0.5,5.5,0.0,0.0
2020-04-08,16.0,-3.0,6.5,0.0,0.0
2020-04-09,18.0,-1.5,8.3,0.0,0.0
2020-04-10,16.0,-1.5,7.3,0.0,0.0
2020-04-11,11.0,1.5,6.3,0.0,0.0
2020-04-12,11.5,-5.5,3.0,0.0,0.0
2020-04-13,14.5,-5.0,4.8,0.0,0.0
2020-04-14,15.5,0.5,8.0,0.0,0.0
2020-04-15,16.5,-1.5,7.5,0.0,0.0
2020-04-16,17.5,-2.5,7.5,0.0,0.0
2020-04-17,15.5,-1.0,7.3,0.0,0.0
2020-04-18,18.0,1.0,9.5,0.0,0.0
2020-04-19,17.5,3.0,10.3,0.0,0.0
2020-04-20,15.5,2.0,8.8,0.0,0.0
2020-04-21,15.0,4.0,9.5,0.0,0.0
2020-04-22,12.5,5.0,8.8,0.4,0.0
2020-04-23,15.0,5.5,10.3,0.0,0.0
2020-04-24,15.0,3.0,9.0,5.4,0.0
2020-04-25,9.0,5.0,7.0,12.6,0.0
2020-04-26,10.5,2.5,6.5,3.6,0.0
2020-04-27,11.5,3.0,7.3,1.6,0.0
2020-04-28,8.0,1.0,4.5,2.2,0.0
2020-04-29,9.0,2.0,5.5,13.1,0.0
2020-04-30,13.0,5.0,9.0,0.0,0.0
2020-05-01,15.5,3.5,9.5,0.2,0.0
2020-05-02,8.5,3.5,6.0,17.0,0.0
2020-05-03,10.0,2.5,6.3,0.2,0.0
2020-05-04,14.5,-0.5,7.0,6.9,0.0
2020-05-05,16.5,2.0,9.3,7.6,0.0
2020-05-06,11.0,5.0,8.0,1.6,0.0
2020-05-07,18.0,-1.5,8.3,0.0,0.0
2020-05-08,22.5,0.5,11.5,0.0,0.0
2020-05-09,25.0,3.0,14.0,0.0,0.0
2020-05-10,25.0,4.0,14.5,0.0,0.0
2020-05-11,23.5,5.5,14.5,0.0,0.0
2020-05-12,17.5,10.0,13.8,0.0,0.0
2020-05-13,17.0,8.0,12.5,0.0,0.0
2020-05-14,19.0,7.5,13.3,0.0,0.0
2020-05-15,17.0,6.5,11.8,0.0,0.0
2020-05-16,12.5,4.0,8.3,8.1,0.0
2020-05-17,16.0,7.0,11.5,0.0,0.0
2020-05-18,20.0,4.5,12.3,0.0,0.0
2020-05-19,19.5,5.5,12.5,0.0,0.0
2020-05-20,16.5,9.0,12.8,4.2,0.0
2020-05-21,13.0,6.5,9.8,0.0,0.0
2020-05-22,14.0,6.5,10.3,0.0,0.0
2020-05-23,16.0,6.5,11.3,0.6,0.0
2020-05-24,17.0,7.5,12.3,7.8,0.0
2020-05-25,14.5,9.0,11.8,0.0,0.0
2020-05-26,19.0,9.0,14.0,0.4,0.0
2020-05-27,23.0,2.0,12.5,0.0,0.0
2020-05-28,26.0,6.0,16.0,0.0,0.0
2020-05-29,25.0,8.5,16.8,0.0,0.0
2020-05-30,17.5,10.0,13.8,6.4,0.0
2020-05-31,15.0,8.0,11.5,0.0,0.0
2020-06-01,17.5,5.5,11.5,0.3,0.0
2020-06-02,9.5,5.5,7.5,8.7,0.0
2020-06-03,17.0,6.0,11.5,0.0,0.0
2020-06-04,16.5,3.5,10.0,0.0,0.0
2020-06-05,19.0,3.5,11.3,1.2,0.0
2020-06-06,14.5,6.5,10.5,2.0,0.0
2020-06-07,18.5,3.0,10.8,0.0,0.0
2020-06-08,15.0,6.0,10.5,2.3,0.0
2020-06-09,11.0,5.5,8.3,3.0,0.0
2020-06-10,19.0,9.5,14.3,0.0,0.0
2020-06-11,12.5,9.0,10.8,12.8,0.0
2020-06-12,12.0,8.5,10.3,7.4,0.0
2020-06-13,15.0,4.5,9.8,4.6,0.0
2020-06-14,14.0,7.0,10.5,0.0,0.0
2020-06-15,11.5,6.5,9.0,2.7,0.0
2020-06-16,19.0,6.5,12.8,0.0,0.0
2020-06-17,21.0,6.5,13.8,0.0,0.0
2020-06-18,26.0,6.5,16.3,0.0,0.0
2020-06-19,25.0,8.5,16.8,6.2,0.0
2020-06-20,18.0,12.0,15.0,1.8,0.0
2020-06-21,19.0,12.0,15.5,0.0,0.0
2020-06-22,14.5,9.0,11.8,0.4,0.0
2020-06-23,21.5,10.5,16.0,9.5,0.0
2020-06-24,20.0,12.5,16.3,6.3,0.0
2020-06-25,25.5,12.5,19.0,0.0,0.0
2020-06-26,20.5,12.0,16.3,4.5,0.0
2020-06-27,19.5,10.0,14.8,13.4,0.0
2020-06-28,21.5,6.5,14.0,0.0,0.0
